Menu,Machine name,Path,Title,Parent,Node
main-menu,main-test,<front>,Testing,,
main-menu,main-test-services,<front>,Excentis testing services,main-test,
main-menu,main-test-cableuropelabs,<front>,Cable Europe Labs certification,main-test,
main-menu,main-test-eurodocsis,<front>,EuroDOCSIS ATP testing services,main-test,EuroDOCSIS ATP testing services but can maybe also go on multiple lines and thatâ€™s totally fine
main-menu,main-test-eurodocsis-programs,<front>,Programs,main-test-eurodocsis,
main-menu,main-test-eurodocsis-info,<front>,CW information,main-test-eurodocsis,
main-menu,main-test-eurodocsis-meeting,<front>,NDA Vendor Meeting,main-test-eurodocsis,
main-menu,main-test-eurodocsis-portal,<front>,Participants portal,main-test-eurodocsis,
main-menu,main-test-eurodocsis-products,<front>,Certified products,main-test-eurodocsis,
main-menu,main-test-eurodocsis-announce,<front>,Announce reflectors,main-test-eurodocsis,
main-menu,main-test-europacketcable,<front>,EuroPacketCable ATP testing services,main-test,
main-menu,main-test-bbned,<front>,Bbned certification expertise,main-test,
main-menu,main-test-example,<front>,Example projects,main-test,
main-menu,main-consulting,<front>,Consulting,,
main-menu,main-consulting-services,<front>,Services,main-consulting,
main-menu,main-consulting-expertise,<front>,Expertise,main-consulting,
main-menu,main-consulting-example-projects,<front>,Example projects,main-consulting,
main-menu,main-training,<front>,Training,,
main-menu,main-training-programs,<front>,Our training programs,main-training,
main-menu,main-training-registration,<front>,Registration,main-training,
main-menu,main-training-termsandconditions,<front>,Terms and conditions,main-training,
main-menu,main-products,<front>,Products,,
main-menu,main-products-byteblower,<front>,ByteBlower,main-products,
main-menu,main-products-voipexaminer,<front>,VoIPexaminer,main-products,
main-menu,main-products-cfgeditor,<front>,FREE Config File Editor,main-products,
main-menu,main-products-custom,<front>,Custom development,main-products,
main-menu,main-about,<front>,About us,,
main-menu,main-about-home,<front>,Home,main-about,
main-menu,main-about-about,<front>,About,main-about,
main-menu,main-about-news,articles,Articles,main-about,
main-menu,main-about-news-news,articles/news,News,main-about-news,
main-menu,main-about-news-press,articles/press,Press,main-about-news,
main-menu,main-about-route,<front>,Route,main-about,
main-menu,main-about-hotels,<front>,Hotels,main-about,
menu-service-menu,service-reach,<front>,How to reach us?,,
menu-service-menu,service-hotels,<front>,Hotels in Ghent?,,
menu-service-menu,service-privacy,<front>,Privacy Policy,,
menu-service-menu,service-disclaimer,<front>,Disclaimer,,
menu-service-menu,service-login,user/login,Login,,
menu-service-menu,service-logout,user/logout,Logout,,
